SLP1	RVS	RVV	SVK	SVR	SVJ	YVVM	YVVK	YVM	YVKp	YVK	YVT	AVS	AVP	SB
u^87+~		U0909+0901+1CE0	U0909+0901+A8E2/U0909+0901+A8E2+A8EF					U0909+0901+1CD8		U0909+0901+1CD7/U0909+0901+1CD8			U0909+0901+1CD6	
u^86		U0909+0969+0952	U0909+0969					U0969+0909+0952		U0909+1CD5/{U0909+1CD9}				
u^86~		U0909+0901+0969+0952	U0909+0901+0969					U0969+0909+0901+0952		U0909+0901+1CD5/{U0909+0901+1CD9}				
u1#	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909	U0909
u1#~	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901	U0909+0901
u1#/	U0909	U0909+0951	U0909+A8E1			U0909	U0909	U0909+0951	U0909	U0909+0951	U0909	U0909	U0909+0951	U0909
u1#/~	U0909+0901	U0909+0901+0951	U0909+0901+A8E1			U0909+0901	U0909+0901	U0909+0901+0951	U0909+0901	U0909+0901+0951	U0909+0901	U0909+0901	U0909+0901+0951	U0909+0901
u1#\	U0909+0952	U0909	U0909+A8E3			U0909+0952	U0909+0952	U0909+0952	U0909+0952	U0909+1CDC	U0909+0952	U0909+0952	U0909+1CDC	U0909+0952/U0909+1CD8/U0909+1CDE/U0909+1CDF/U0909+1CDF+1CDF
u1#\~	U0909+0901+0952	U0909+0901	U0909+0901+A8E3			U0909+0901+0952	U0909+0901+0952	U0909+0901+0952	U0909+0901+0952	U0909+0901+1CDC	U0909+0901+0952	U0909+0901+0952	U0909+0901+1CDC	U0909+0901+0952/U0909+0901+1CD8
u1#^	U0909+0951	U0909+1CE0/U0909+0969+0952	U0909+A8E2			U0909+1CD6/U0909+1CD5	U0909+0951/U0909+0952	U0909+1CD8/U0969+0909+0952	U0909+0951/U0909+0952	U0909+1CD7/U0909+1CD8/U0909+1CD5/{U0909+1CD9}	U0909+0951	U0909+1CE1	U0909+1CD6	
u1#^~	U0909+0901+0951	U0909+0901+1CE0/U0909+0901+0969+0952	U0909+0901+A8E2			U0909+0901+1CD6/U0909+0901+1CD5	U0909+0901+0951/U0909+0901+0952	U0909+0901+1CD8/U0969+0909+0901+0952	U0909+0901+0951/U0909+0901+0952	U0909+0901+1CD7/U0909+0901+1CD8/U0909+0901+1CD5/U0909+0901+1CD8/{U0909+0901+1CD9}	U0909+0901+0951	U0909+0901+1CE1	U0909+0901+1CD6	
u1#/8	U0909	U0909+0951	U0909+A8E1/U0909+A8E1+A8EF/U0909+A8E2/U0909+A8E2+A8EB			U0909	U0909	U0909+0951	U0909	U0909+0951	U0909	U0909	U0909+0951	U0909
u1#/8~	U0909+0901	U0909+0901+0951	U0909+0901+A8E1/U0909+0901+A8E1+A8EF/U0909+0901+A8E2/U0909+0901+A8E2+A8EB			U0909+0901	U0909+0901	U0909+0901+0951	U0909+0901	U0909+0901+0951	U0909+0901	U0909+0901	U0909+0901+0951	U0909+0901
u1#\7	U0909+0952					U0909+0952	U0909+0952		U0909+0952		U0909+0952	U0909+0952	U0909+1CDD	
u1#\7~	U0909+0901+0952					U0909+0901+0952	U0909+0901+0952		U0909+0901+0952		U0909+0901+0952	U0909+0901+0952	U0909+0901+1CDD	
u1#\6		U0909	U0909+A8E3+A8EC					U0909+0952		U0909+1CDC			U0909+1CDC	
u1#\6~		U0909+0901	U0909+0901+A8E3+A8EC					U0909+0901+0952		U0909+0901+1CDC			U0909+0901+1CDC	
u1#^98	U0909+0951					U0909+0951/U0909+1CD6	U0909+0951/U0909+0952		U0909+0951/U0909+0952		U0909+0951	U0909+0951		
u1#^98~	U0909+0901+0951					U0909+0901+0951/U0909+0901+1CD6	U0909+0901+0951/U0909+0901+0952		U0909+0901+0951/U0909+0901+0952		U0909+0901+0951	U0909+0901+0951		
u1#^97	U0909+0967+0951+0952					U0909+1CD5						U0909+0967+0951+0952		
u1#^97~	U0909+0901+0967+0951+0952					U0909+0901+1CD5						U0909+0901+0967+0951+0952		
u1#^87		U0909	U0909+A8E2/U0909+A8E2+A8EF					U0909+1CDB/U0909+1CD4		U0909+1CDD			U0909+1CDD	
u1#^87~		U0909+0901	U0909+0901+A8E2/U0909+0901+A8E2+A8EF					U0909+0901+1CDB/U0909+0901+1CD4		U0909+0901+1CDD			U0909+0901+1CDD	
u1#^87+		U0909+1CE0	U0909+A8E2/U0909+A8E2+A8EF					U0909+1CD8		U0909+1CD7/U0909+1CD8			U0909+1CD6	
u1#^87+~		U0909+0901+1CE0	U0909+0901+A8E2/U0909+0901+A8E2+A8EF					U0909+0901+1CD8		U0909+0901+1CD7/U0909+0901+1CD8			U0909+0901+1CD6	
u1#^86		U0909+0969+0952	U0909+0969					U0969+0909+0952		U0909+1CD5/{U0909+1CD9}				
u1#^86~		U0909+0901+0969+0952	U0909+0901+0969					U0969+0909+0901+0952		U0909+0901+1CD5/{U0909+0901+1CD9}				
U	U090A	U090A	U090A	U090A	U090A	U090A	U090A	U090A	U090A	U090A	U090A	U090A	U090A	U090A
U~	U090A+0901/U090A+0901+0968[V]/U090A+A8F5[V]/U090A+A8F5+0964[V]	U090A+0901	U090A+0901	U090A+0901	U090A+0901	U090A+0901/U090A+0901+0968[V]/U090A+A8F5[V]/U090A+A8F5+0964[V]	U090A+0901/U090A+0901+0968[V]/U090A+A8F5[V]/U090A+A8F5+0964[V]	U090A+0901	U090A+0901	U090A+0901	U090A+0901	U090A+0901	U090A+0901	U090A+0901
U/	U090A	U090A+0951	U090A+A8E1			U090A	U090A	U090A+0951	U090A	U090A+0951	U090A	U090A	U090A+0951	U090A
U/~	U090A+0901/U090A+0901+0968[V]/U090A+A8F5[V]/U090A+A8F5+0964[V]	U090A+0901+0951	U090A+0901+A8E1			U090A+0901/U090A+0901+0968[V]/U090A+A8F5[V]/U090A+A8F5+0964[V]	U090A+0901/U090A+0901+0968[V]/U090A+A8F5[V]/U090A+A8F5+0964[V]	U090A+0901+0951	U090A+0901	U090A+0901+0951	U090A+0901	U090A+0901	U090A+0901+0951	U090A+0901
U\	U090A+0952	U090A	U090A+A8E3			U090A+0952	U090A+0952	U090A+0952	U090A+0952	U090A+1CDC	U090A+0952	U090A+0952	U090A+1CDC	U090A+0952/U090A+1CD8/U090A+1CDE/U090A+1CDF/U090A+1CDF+1CDF
U\~	U090A+0901+0952/U090A+0901+0952+0968[V]/U090A+0952+A8F5[V]/U090A+0952+A8F5+0964[V]	U090A+0901	U090A+0901+A8E3			U090A+0901+0952/U090A+0901+0952+0968[V]/U090A+0952+A8F5[V]/U090A+0952+A8F5+0964[V]	U090A+0901+0952/U090A+0901+0952+0968[V]/U090A+0952+A8F5[V]/U090A+0952+A8F5+0964[V]	U090A+0901+0952	U090A+0901+0952	U090A+0901+1CDC	U090A+0901+0952	U090A+0901+0952	U090A+0901+1CDC	U090A+0901+0952/U090A+0901+1CD8
U^	U090A+0951	U090A+1CE0/U090A+0969+0952	U090A+A8E2			U090A+1CD6/U090A+1CD5	U090A+0951/U090A+0952	U090A+1CD8/U0969+090A+0952	U090A+0951/U090A+0952	U090A+1CD7/U090A+1CD8/U090A+1CD5/{U090A+1CD9}	U090A+1CDA/{U090A+0951}	U090A+1CE1	U090A+1CD6	
U^~	U090A+0901+0951	U090A+0901+1CE0/U090A+0901+0969+0952	U090A+0901+A8E2			U090A+0901+1CD6/U090A+0901+1CD5	U090A+0901+0951/U090A+0901+0952	U090A+0901+1CD8/U0969+090A+0901+0952	U090A+0901+0951/U090A+0901+0952	U090A+0901+1CD7/U090A+0901+1CD8/U090A+0901+1CD5/{U090A+0901+1CD9}	U090A+0901+1CDA/{U090A+0901+0951}	U090A+0901+1CE1	U090A+0901+1CD6	
U/8	U090A	U090A+0951	U090A+A8E1/U090A+A8E1+A8EF/U090A+A8E2/U090A+A8E2+A8EB			U090A	U090A	U090A+0951	U090A	U090A+0951	U090A	U090A	U090A+0951	U090A
U/8~	U090A+0901/U090A+0901+0968[V]/U090A+A8F5[V]/U090A+A8F5+0964[V]	U090A+0901+0951	U090A+0901+A8E1/U090A+0901+A8E1+A8EF/U090A+0901+A8E2/U090A+0901+A8E2+A8EB			U090A+0901/U090A+0901+0968[V]/U090A+A8F5[V]/U090A+A8F5+0964[V]	U090A+0901/U090A+0901+0968[V]/U090A+A8F5[V]/U090A+A8F5+0964[V]	U090A+0901+0951	U090A+0901	U090A+0901+0951	U090A+0901	U090A+0901	U090A+0901+0951	U090A+0901
U\7	U090A+0952					U090A+0952	U090A+0952		U090A+0952		U090A+0952	U090A+0952	U090A+1CDD	
U\7~	U090A+0901+0952/U090A+0901+0952+0968[V]/U090A+0952+A8F5[V]/U090A+0952+A8F5+0964[V]					U090A+0901+0952/U090A+0901+0952+0968[V]/U090A+0952+A8F5[V]/U090A+0952+A8F5+0964[V]	U090A+0901+0952/U090A+0901+0952+0968[V]/U090A+0952+A8F5[V]/U090A+0952+A8F5+0964[V]		U090A+0901+0952		U090A+0901+0952	U090A+0901+0952	U090A+0901+1CDD	
U\6		U090A	U090A+A8E3+A8EC					U090A+0952		U090A+1CDC			U090A+1CDC	
U\6~		U090A+0901	U090A+0901+A8E3+A8EC					U090A+0901+0952		U090A+0901+1CDC			U090A+0901+1CDC	
U^98	U090A+0951					U090A+0951/U090A+1CD6	U090A+0951/U090A+0952		U090A+0951/U090A+0952		U090A+1CDA/{U090A+0951}	U090A+0951		
U^98~	U090A+0901+0951					U090A+0901+0951/U090A+0901+1CD6	U090A+0901+0951/U090A+0901+0952		U090A+0901+0951/U090A+0901+0952		U090A+0901+1CDA/{U090A+0901+0951}	U090A+0901+0951		
U^97	U090A+0969+0951+0952					U090A+1CD5						U090A+0969+0951+0952		
U^97~	U090A+0901+0969+0951+0952					U090A+0901+1CD5						U090A+0901+0969+0951+0952		
U^87		U090A	U090A+A8E2/U090A+A8E2+A8EF					U090A+1CDB/U090A+1CD4		U090A+1CDD			U090A+1CDD	
U^87~		U090A+0901	U090A+0901+A8E2/U090A+0901+A8E2+A8EF					U090A+0901+1CDB/U090A+0901+1CD4		U090A+0901+1CDD			U090A+0901+1CDD	
U^87+		U090A+1CE0	U090A+A8E2/U090A+A8E2+A8EF					U090A+1CD8		U090A+1CD7/U090A+1CD8			U090A+1CD6	
U^87+~		U090A+0901+1CE0	U090A+0901+A8E2/U090A+0901+A8E2+A8EF					U090A+0901+1CD8		U090A+0901+1CD7/U090A+0901+1CD8			U090A+0901+1CD6	
U^86		U090A+0969+0952	U090A+0969					U0969+090A+0952		U090A+1CD5/{U090A+1CD9}				
U^86~		U090A+0901+0969+0952	U090A+0901+0969					U0969+090A+0901+0952		U090A+0901+1CD5/{U090A+0901+1CD9}				
u3	U0909+0969	U0909+0969	U0909+0969	U0909+0969	U0909+0969	U0909+0969	U0909+0969	U0909+0969	U0909+0969	U0909+0969	U0909+0969	U0909+0969	U0909+0969	U0909+0969
u3~	U0909+0901+0969/U0909+A8F6/{U0909+A8F6+0964}	U0909+0901+0969	U0909+0901+0969	U0909+0901+0969	U0909+0901+0969	U0909+0901+0969/U0909+A8F6/{U0909+A8F6+0964}	U0909+0901+0969/U0909+A8F6/{U0909+A8F6+0964}	U0909+0901+0969	U0909+0901+0969	U0909+0901+0969	U0909+0901+0969	U0909+0901+0969	U0909+0901+0969	U0909+0901+0969
u3/	U0909+0969	U0909+A8E1+0969			U0909+0969	U0909+0969	U0909+0951+0969	U0909+0969	U0909+0951+0969	U0909+0969	U0909+0969	U0909+0951+0969	U0909+0969	
u3/~	U0909+0901+0969/U0909+A8F6/{U0909+A8F6+0964}	U0909+0901+0951+0969	U0909+0901+A8E1+0969			U0909+0901+0969/U0909+A8F6/{U0909+A8F6+0964}	U0909+0901+0969/U0909+A8F6/{U0909+A8F6+0964}	U0909+0901+0951+0969	U0909+0901+0969	U0909+0901+0951+0969	U0909+0901+0969	U0909+0901+0969	U0909+0901+0951+0969	U0909+0901+0969
u3\	U0909+0952+0969	U0909+0969	U0909+A8E3+0969			U0909+0952+0969	U0909+0952+0969	U0909+0952+0969	U0909+0952+0969	U0909+1CDC+0969	U0909+0952+0969	U0909+0952+0969	U0909+1CDC+0969	U0909+0952+0969/U0909+1CD8+0969/U0909+1CDE+0969/U0909+1CDF+0969/U0909+1CDF+1CDF+0969
u3\~	U0909+0901+0952+0969/U0909+0952+A8F6/{U0909+0952+A8F6+0964}	U0909+0901+0969	U0909+0901+A8E3+0969			U0909+0901+0952+0969/U0909+0952+A8F6/{U0909+0952+A8F6+0964}	U0909+0901+0952+0969/U0909+0952+A8F6/{U0909+0952+A8F6+0964}	U0909+0901+0952+0969	U0909+0901+0952+0969	U0909+0901+1CDC+0969	U0909+0901+0952+0969	U0909+0901+0952+0969	U0909+0901+1CDC+0969	U0909+0901+0952+0969/U0909+0901+1CD8+0969
u3^	U0909+0951+0969	U0909+1CE0+0969/U0909+0969+0952	U0909+A8E2+0969			U0909+1CD6+0969/U0909+1CD5+0969	U0909+0951+0969/U0909+0952+0969	U0909+1CD8+0969/U0969+0909+0952+0969	U0909+0951+0969/U0909+0952+0969	U0909+1CD7/U0909+1CD8+0969/U0909+1CD5+0969/{U0909+1CD9+0969}	U0909+1CDA+0969/{U0909+0951+0969}	U0909+1CE1+0969	U0909+1CD6+0969	
u3^~	U0909+0901+0951+0969	U0909+0901+1CE0+0969/U0909+0901+0969+0952	U0909+0901+A8E2+0969			U0909+0901+1CD6+0969/U0909+0901+1CD5+0969	U0909+0901+0951+0969/U0909+0901+0952+0969	U0909+0901+1CD8+0969/U0969+0909+0901+0952+0969	U0909+0901+0951+0969/U0909+0901+0952+0969	U0909+0901+1CD7+0969/U0909+0901+1CD8+0969/U0909+0901+1CD5+0969/{U0909+0901+1CD9+0969}	U0909+0901+1CDA+0969/{U0909+0901+0951+0969}	U0909+0901+1CE1+0969	U0909+0901+1CD6+0969	
u3/8	U0909+0969	U0909+0951+0969	U0909+A8E1+0969/U0909+A8E1+A8EF+0969/U0909+A8E2+0969/U0909+A8E2+A8EB+0969			U0909+0969	U0909+0969	U0909+0951+0969	U0909+0969	U0909+0951+0969	U0909+0969	U0909+0969	U0909+0951+0969	U0909+0969
u3/8~	U0909+0901+0969/U0909+A8F6/{U0909+A8F6+0964}	U0909+0901+0951+0969	U0909+0901+A8E1+0969/U0909+0901+A8E1+A8EF+0969/U0909+0901+A8E2+0969/U0909+0901+A8E2+A8EB+0969			U0909+0901+0969/U0909+A8F6/{U0909+A8F6+0964}	U0909+0901+0969/U0909+A8F6/{U0909+A8F6+0964}	U0909+0901+0951+0969	U0909+0901+0969	U0909+0901+0951+0969	U0909+0901+0969	U0909+0901+0969	U0909+0901+0951+0969	U0909+0901+0969
u3\7	U0909+0952+0969					U0909+0952+0969	U0909+0952+0969		U0909+0952+0969		U0909+0952+0969	U0909+0952+0969	U0909+1CDD+0969	
u3\7~	U0909+0901+0952+0969/U0909+0952+A8F6/{U0909+0952+A8F6+0964}					U0909+0901+0952+0969/U0909+0952+A8F6/{U0909+0952+A8F6+0964}	U0909+0901+0952+0969/U0909+0952+A8F6/{U0909+0952+A8F6+0964}		U0909+0901+0952+0969		U0909+0901+0952+0969	U0909+0901+0952+0969	U0909+0901+1CDD+0969	
u3\6		U0909+0969	U0909+A8E3+A8EC+0969					U0909+0952+0969		U0909+1CDC+0969			U0909+1CDC+0969	
u3\6~		U0909+0901+0969	U0909+0901+A8E3+A8EC+0969					U0909+0901+0952+0969		U0909+0901+1CDC+0969			U0909+0901+1CDC+0969	
u3^98	U0909+0951+0969					U0909+0951+0969/U0909+1CD6+0969	U0909+0951+0969/U0909+0952+0969		U0909+0951+0969/U0909+0952+0969		U0909+1CDA+0969/{U0909+0951+0969}	U0909+0951+0969		
u3^98~	U0909+0901+0951+0969/U0909+0951+A8F6/{U0909+A8F6+0951}/{U0909+0951+A8F6+0964}/{U0909+A8F6+0951+0964}					U0909+0901+0951+0969/U0909+0951+A8F6/{U0909+A8F6+0951}/{U0909+0951+A8F6+0964}/{U0909+A8F6+0951+0964}/U0909+0901+1CD6+0969	U0909+0901+0951+0969/U0909+0951+A8F6/{U0909+A8F6+0951}/{U0909+0951+A8F6+0964}/{U0909+A8F6+0951+0964}/U0909+0901+0952+0969		U0909+0901+0951+0969/U0909+0901+0952+0969		U0909+0901+1CDA+0969/{U0909+0901+0951+0969}	U0909+0901+0951+0969		
u3^97	U0909+0967+0951+0952+0969					U0909+1CD5+0969						U0909+0967+0951+0952+0969		
u3^97~	U0909+0901+0967+0951+0952+0969					U0909+0901+1CD5+0969						U0909+0901+0967+0951+0952+0969		
u3^87		U0909+0969	U0909+A8E2+0969/U0909+A8E2+A8EF+0969					U0909+1CDB+0969/U0909+1CD4+0969		U0909+1CDD+0969			U0909+1CDD+0969	
u3^87~		U0909+0901+0969	U0909+0901+A8E2+0969/U0909+0901+A8E2+A8EF+0969					U0909+0901+1CDB+0969/U0909+0901+1CD4+0969		U0909+0901+1CDD+0969			U0909+0901+1CDD+0969	
u3^87+		U0909+1CE0+0969	U0909+A8E2+0969/U0909+A8E2+A8EF+0969					U0909+1CD8+0969		U0909+1CD7+0969/U0909+1CD8+0969			U0909+1CD6+0969	
u3^87+~		U0909+0901+1CE0+0969	U0909+0901+A8E2+0969/U0909+0901+A8E2+A8EF+0969					U0909+0901+1CD8+0969		U0909+0901+1CD7+0969/U0909+0901+1CD8+0969			U0909+0901+1CD6+0969	
u3^86		U0909+0969+0952	U0909+0969					U0969+0909+0952+0969		U0909+1CD5+0969/{U0909+1CD9+0969}				
u3^86~		U0909+0901+0969+0952	U0909+0901+0969					U0969+0909+0901+0952+0969		U0909+0901+1CD5+0969/{U0909+0901+1CD9+0969}				
u4~	U0909+0901+096A	U0909+0901+096A	U0909+0901+096A	U0909+0901+096A	U0909+0901+096A	U0909+0901+096A	U0909+0901+096A	U0909+0901+096A	U0909+0901+096A	U0909+0901+096A	U0909+0901+096A	U0909+0901+096A	U0909+0901+096A	U0909+0901+096A
u4/~	U0909+0901+096A	U0909+0901+0951+096A	U0909+0901+A8E1+096A			U0909+0901+096A	U0909+0901+096A	U0909+0901+0951+096A	U0909+0901+096A	U0909+0901+0951+096A	U0909+0901+096A	U0909+0901+096A	U0909+0901+0951+096A	U0909+0901+096A
u4\~	U0909+0901+0952+096A	U0909+0901+096A	U0909+0901+A8E3+096A			U0909+0901+0952+096A	U0909+0901+0952+096A	U0909+0901+0952+096A	U0909+0901+0952+096A	U0909+0901+1CDC+096A	U0909+0901+0952+096A	U0909+0901+0952+096A	U0909+0901+1CDC+096A	U0909+0901+0952+096A/U0909+0901+1CD8+096A
u4^~	U0909+0901+0951+096A	U0909+0901+1CE0+096A/U0909+0901+0969+0952	U0909+0901+A8E2+096A			U0909+0901+1CD6+096A/U0909+0901+1CD5+096A	U0909+0901+0951+096A/U0909+0901+0952+096A	U0909+0901+1CD8+096A/U0969+0909+0901+0952+096A	U0909+0901+0951+096A/U0909+0901+0952+096A	U0909+0901+1CD7+096A/U0909+0901+1CD8+096A/U0909+0901+1CD5+096A	U0909+0901+1CDA+096A/{U0909+0901+0951+096A}	U0909+0901+1CE1+096A	U0909+0901+1CD6+096A	
u4/8~	U0909+0901+096A	U0909+0901+0951+096A	U0909+0901+A8E1+096A/U0909+0901+A8E1+A8EF+096A/U0909+0901+A8E2+096A/U0909+0901+A8E2+A8EB+096A			U0909+0901+096A	U0909+0901+096A	U0909+0901+0951+096A	U0909+0901+096A	U0909+0901+0951+096A	U0909+0901+096A	U0909+0901+096A	U0909+0901+0951+096A	U0909+0901+096A
u4\7~	U0909+0901+0952+096A					U0909+0901+0952+096A	U0909+0901+0952+096A		U0909+0901+0952+096A		U0909+0901+0952+096A	U0909+0901+0952+096A	U0909+0901+1CDD+096A	
u4\6~		U0909+0901+096A	U0909+0901+A8E3+A8EC+096A					U0909+0901+0952+096A		U0909+0901+1CDC+096A			U0909+0901+1CDC+096A	
u4^98~	U0909+0901+0951+096A					U0909+0901+0951+096A/U0909+0901+1CD6+096A	U0909+0901+0951+096A/U0909+0901+0952+096A		U0909+0901+0951+096A/U0909+0901+0952+096A		U0909+0901+1CDA+096A/{U0909+0901+0951+096A}	U0909+0901+0951+096A		
u4^97~	U0909+0901+0967+0951+0952+096A					U0909+0901+1CD5+096A						U0909+0901+0967+0951+0952+096A		
u4^87~		U0909+0901+096A	U0909+0901+A8E2+096A/U0909+0901+A8E2+A8EF+096A					U0909+0901+1CDB+096A/U0909+0901+1CD4+096A		U0909+0901+1CDD+096A			U0909+0901+1CDD+096A	
u4^87+~		U0909+0901+1CE0+096A	U0909+0901+A8E2+096A/U0909+0901+A8E2+A8EF+096A					U0909+0901+1CD8+096A		U0909+0901+1CD7+096A/U0909+0901+1CD8+096A			U0909+0901+1CD6+096A	
u4^86~		U0909+0901+0969+0952	U0909+0901+096A					U0969+0909+0901+0952+096A		U0909+0901+1CD5+096A/{U0909+0901+1CD9+096A}				
u*	U0909													
f	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B
f~	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901
f/	U090B	U090B+0951	U090B+A8E1			U090B	U090B	U090B+0951	U090B	U090B+0951	U090B	U090B	U090B+0951	U090B
f/~	U090B+0901	U090B+0901+0951	U090B+0901+A8E1			U090B+0901	U090B+0901	U090B+0901+0951	U090B+0901	U090B+0901+0951	U090B+0901	U090B+0901	U090B+0901+0951	U090B+0901
f\	U090B+0952	U090B	U090B+A8E3			U090B+0952	U090B+0952	U090B+0952	U090B+0952	U090B+1CDC	U090B+0952	U090B+0952	U090B+1CDC	U090B+0952/U090B+1CD8/U090B+1CDE/U090B+1CDF/U090B+1CDF+1CDF
f\~	U090B+0901+0952	U090B+0901	U090B+0901+A8E3			U090B+0901+0952	U090B+0901+0952	U090B+0901+0952	U090B+0901+0952	U090B+0901+1CDC	U090B+0901+0952	U090B+0901+0952	U090B+0901+1CDC	U090B+0901+0952/U090B+0901+1CD8
f^	U090B+0951	U090B+1CE0/U090B+0969+0952	U090B+A8E2			U090B+1CD6/U090B+1CD5	U090B+0951/U090B+0952	U090B+1CD8/U0969+090B+0952	U090B+0951/U090B+0952	U090B+1CD7/U090B+1CD8/U090B+1CD5/{U090B+1CD9}	U090B+0951	U090B+1CE1	U090B+1CD6	
f^~	U090B+0901+0951	U090B+0901+1CE0/U090B+0901+0969+0952	U090B+0901+A8E2			U090B+0901+1CD6/U090B+0901+1CD5	U090B+0901+0951/U090B+0901+0952	U090B+0901+1CD8/U0969+090B+0901+0952	U090B+0901+0951/U090B+0901+0952	U090B+0901+1CD7/U090B+0901+1CD8/U090B+0901+1CD5/U090B+0901+1CD8/{U090B+0901+1CD9}	U090B+0901+0951	U090B+0901+1CE1	U090B+0901+1CD6	
f/8	U090B	U090B+0951	U090B+A8E1/U090B+A8E1+A8EF/U090B+A8E2/U090B+A8E2+A8EB			U090B	U090B	U090B+0951	U090B	U090B+0951	U090B	U090B	U090B+0951	U090B
f/8~	U090B+0901	U090B+0901+0951	U090B+0901+A8E1/U090B+0901+A8E1+A8EF/U090B+0901+A8E2/U090B+0901+A8E2+A8EB			U090B+0901	U090B+0901	U090B+0901+0951	U090B+0901	U090B+0901+0951	U090B+0901	U090B+0901	U090B+0901+0951	U090B+0901
f\7	U090B+0952					U090B+0952	U090B+0952		U090B+0952		U090B+0952	U090B+0952	U090B+1CDD	
f\7~	U090B+0901+0952					U090B+0901+0952	U090B+0901+0952		U090B+0901+0952		U090B+0901+0952	U090B+0901+0952	U090B+0901+1CDD	
f\6		U090B	U090B+A8E3+A8EC					U090B+0952		U090B+1CDC			U090B+1CDC	
f\6~		U090B+0901	U090B+0901+A8E3+A8EC					U090B+0901+0952		U090B+0901+1CDC			U090B+0901+1CDC	
f^98	U090B+0951					U090B+0951/U090B+1CD6	U090B+0951/U090B+0952		U090B+0951/U090B+0952		U090B+0951	U090B+0951		
f^98~	U090B+0901+0951					U090B+0901+0951/U090B+0901+1CD6	U090B+0901+0951/U090B+0901+0952		U090B+0901+0951/U090B+0901+0952		U090B+0901+0951	U090B+0901+0951		
f^97	U090B+0967+0951+0952					U090B+1CD5						U090B+0967+0951+0952		
f^97~	U090B+0901+0967+0951+0952					U090B+0901+1CD5						U090B+0901+0967+0951+0952		
f^87		U090B	U090B+A8E2/U090B+A8E2+A8EF					U090B+1CDB/U090B+1CD4		U090B+1CDD			U090B+1CDD	
f^87~		U090B+0901	U090B+0901+A8E2/U090B+0901+A8E2+A8EF					U090B+0901+1CDB/U090B+0901+1CD4		U090B+0901+1CDD			U090B+0901+1CDD	
f^87+		U090B+1CE0	U090B+A8E2/U090B+A8E2+A8EF					U090B+1CD8		U090B+1CD7/U090B+1CD8			U090B+1CD6	
f^87+~		U090B+0901+1CE0	U090B+0901+A8E2/U090B+0901+A8E2+A8EF					U090B+0901+1CD8		U090B+0901+1CD7/U090B+0901+1CD8			U090B+0901+1CD6	
f^86		U090B+0969+0952	U090B+0969					U0969+090B+0952		U090B+1CD5/{U090B+1CD9}				
f^86~		U090B+0901+0969+0952	U090B+0901+0969					U0969+090B+0901+0952		U090B+0901+1CD5/{U090B+0901+1CD9}				
f1#	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B	U090B
f1#~	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901	U090B+0901
f1#/	U090B	U090B+0951	U090B+A8E1			U090B	U090B	U090B+0951	U090B	U090B+0951	U090B	U090B	U090B+0951	U090B
f1#/~	U090B+0901	U090B+0901+0951	U090B+0901+A8E1			U090B+0901	U090B+0901	U090B+0901+0951	U090B+0901	U090B+0901+0951	U090B+0901	U090B+0901	U090B+0901+0951	U090B+0901
f1#\	U090B+0952	U090B	U090B+A8E3			U090B+0952	U090B+0952	U090B+0952	U090B+0952	U090B+1CDC	U090B+0952	U090B+0952	U090B+1CDC	U090B+0952/U090B+1CD8/U090B+1CDE/U090B+1CDF/U090B+1CDF+1CDF
f1#\~	U090B+0901+0952	U090B+0901	U090B+0901+A8E3			U090B+0901+0952	U090B+0901+0952	U090B+0901+0952	U090B+0901+0952	U090B+0901+1CDC	U090B+0901+0952	U090B+0901+0952	U090B+0901+1CDC	U090B+0901+0952/U090B+0901+1CD8
f1#^	U090B+0951	U090B+1CE0/U090B+0969+0952	U090B+A8E2			U090B+1CD6/U090B+1CD5	U090B+0951/U090B+0952	U090B+1CD8/U0969+090B+0952	U090B+0951/U090B+0952	U090B+1CD7/U090B+1CD8/U090B+1CD5/{U090B+1CD9}	U090B+0951	U090B+1CE1	U090B+1CD6	
f1#^~	U090B+0901+0951	U090B+0901+1CE0/U090B+0901+0969+0952	U090B+0901+A8E2			U090B+0901+1CD6/U090B+0901+1CD5	U090B+0901+0951/U090B+0901+0952	U090B+0901+1CD8/U0969+090B+0901+0952	U090B+0901+0951/U090B+0901+0952	U090B+0901+1CD7/U090B+0901+1CD8/U090B+0901+1CD5/{U090B+0901+1CD9}	U090B+0901+0951	U090B+0901+1CE1	U090B+0901+1CD6	
f1#/8	U090B	U090B+0951	U090B+A8E1/U090B+A8E1+A8EF/U090B+A8E2/U090B+A8E2+A8EB			U090B	U090B	U090B+0951	U090B	U090B+0951	U090B	U090B	U090B+0951	U090B
