SLP1	RVS	RVV	SVK	SVR	SVJ	YVVM	YVVK	YVM	YVKp	YVK	YVT	AVS	AVP	SB
a3^87+~		U0905+0901+1CE0+0969	U0905+0901+A8E2+0969/U0905+0901+A8E2+A8EF+0969					U0905+0901+1CD8+0969		U0905+0901+1CD7+0969/U0905+0901+1CD8+0969			U0905+0901+1CD6+0969	
a3^86		U0905+0969+0952	U0905+0969					U0969+0905+0952+0969		U0905+1CD5+0969/{U0905+1CD9+0969}				
a3^86~		U0905+0901+0969+0952	U0905+0901+0969					U0969+0905+0901+0952+0969		U0905+0901+1CD5+0969/{U0905+0901+1CD9+0969}				
a4~	U0905+0901+096A	U0905+0901+096A	U0905+0901+096A	U0905+0901+096A	U0905+0901+096A	U0905+0901+096A	U0905+0901+096A	U0905+0901+096A	U0905+0901+096A	U0905+0901+096A	U0905+0901+096A	U0905+0901+096A	U0905+0901+096A	U0905+0901+096A
a4/~	U0905+0901+096A	U0905+0901+0951+096A	U0905+0901+A8E1+096A			U0905+0901+096A	U0905+0901+096A	U0905+0901+0951+096A	U0905+0901+096A	U0905+0901+0951+096A	U0905+0901+096A	U0905+0901+096A	U0905+0901+0951+096A	U0905+0901+096A
a4\~	U0905+0901+0952+096A	U0905+0901+096A	U0905+0901+A8E3+096A			U0905+0901+0952+096A	U0905+0901+0952+096A	U0905+0901+0952+096A	U0905+0901+0952+096A	U0905+0901+1CDC+096A	U0905+0901+0952+096A	U0905+0901+0952+096A	U0905+0901+1CDC+096A	U0905+0901+0952+096A/U0905+0901+1CD8+096A
a4^~	U0905+0901+0951+096A	U0905+0901+1CE0+096A/U0905+0901+0969+0952	U0905+0901+A8E2+096A			U0905+0901+1CD6+096A/U0905+0901+1CD5+096A	U0905+0901+0951+096A/U0905+0901+0952+096A	U0905+0901+1CD8+096A/U0969+0905+0901+0952+096A	U0905+0901+0951+096A/U0905+0901+0952+096A	U0905+0901+1CD7+096A/U0905+0901+1CD8+096A/U0905+0901+1CD5+096A	U0905+0901+1CDA+096A/{U0905+0901+0951+096A}	U0905+0901+1CE1+096A	U0905+0901+1CD6+096A	
a4/8~	U0905+0901+096A	U0905+0901+0951+096A	U0905+0901+A8E1+096A/U0905+0901+A8E1+A8EF+096A/U0905+0901+A8E2+096A/U0905+0901+A8E2+A8EB+096A			U0905+0901+096A	U0905+0901+096A	U0905+0901+0951+096A	U0905+0901+096A	U0905+0901+0951+096A	U0905+0901+096A	U0905+0901+096A	U0905+0901+0951+096A	U0905+0901+096A
a4\7~	U0905+0901+0952+096A					U0905+0901+0952+096A	U0905+0901+0952+096A		U0905+0901+0952+096A		U0905+0901+0952+096A	U0905+0901+0952+096A	U0905+0901+1CDD+096A	
a4\6~		U0905+0901+096A	U0905+0901+A8E3+A8EC+096A					U0905+0901+0952+096A		U0905+0901+1CDC+096A			U0905+0901+1CDC+096A	
